window_type,bw_value,year,scope,trendline_width,candidate,result,estimate,squared_error
epanechnikov,13,2012,iowa,11,Cain,0.0,-3.38461538462,11.4556213018
epanechnikov,13,2012,iowa,11,Huntsman,0.6,2.69000578912,4.36812419856
epanechnikov,13,2012,iowa,11,Perry,10.3,10.5913121807,0.0848627866077
epanechnikov,13,2008,iowa,12,GIULIANI,3.4,5.17273216091,3.14257931434
epanechnikov,13,2008,iowa,12,HUCKABEE,34.4,28.9086542497,30.1548781492
epanechnikov,13,2008,iowa,12,MCCAIN,13,12.1156619166,0.782053845819
epanechnikov,13,2008,iowa,12,PAUL,9.9,6.60652236677,10.8469949206
epanechnikov,13,2008,iowa,12,ROMNEY,25.2,29.2659792361,16.5321871485
epanechnikov,13,2008,iowa,12,THOMPSON,13.4,11.4090808587,3.96375902704
epanechnikov,13,2012,iowa,12,Romney,24.5,23.4996219831,1.00075617674
epanechnikov,13,2012,iowa,12,Gingrich,13.3,12.0950872401,1.45181475899
epanechnikov,13,2012,iowa,12,Santorum,24.6,19.601619557,24.9838070525
epanechnikov,13,2012,iowa,12,Paul,21.4,19.4454415944,3.82029856081
epanechnikov,13,2012,iowa,12,Cain,0.0,-3.38461538462,11.4556213018
epanechnikov,13,2012,iowa,12,Huntsman,0.6,2.70007806935,4.41032789736
epanechnikov,13,2012,iowa,12,Perry,10.3,10.6006472013,0.090388739654
epanechnikov,13,2008,iowa,13,GIULIANI,3.4,5.19945458171,3.23803679165
epanechnikov,13,2008,iowa,13,HUCKABEE,34.4,28.892706336,30.3302835014
epanechnikov,13,2008,iowa,13,MCCAIN,13,12.1378527177,0.74329793633
epanechnikov,13,2008,iowa,13,PAUL,9.9,6.61719781513,10.776790185
epanechnikov,13,2008,iowa,13,ROMNEY,25.2,29.2553333966,16.4457289576
epanechnikov,13,2008,iowa,13,THOMPSON,13.4,11.39223347,4.03112643894
epanechnikov,13,2012,iowa,13,Romney,24.5,23.4894274239,1.0212569315
epanechnikov,13,2012,iowa,13,Gingrich,13.3,12.0613416383,1.53427453699
epanechnikov,13,2012,iowa,13,Santorum,24.6,19.5580191651,25.4215707397
epanechnikov,13,2012,iowa,13,Paul,21.4,19.4850246375,3.66713063895
epanechnikov,13,2012,iowa,13,Cain,0.0,-3.38461538462,11.4556213018
epanechnikov,13,2012,iowa,13,Huntsman,0.6,2.7142811012,4.4701845749
epanechnikov,13,2012,iowa,13,Perry,10.3,10.6071123389,0.0943179886884
