Candidate,Votes,percentage
SANTORUM,29839,24.6
ROMNEY,29805,24.5
PAUL,26036,21.4
GINGRICH,16163,13.3
PERRY,12557,10.3
BACHMANN,6046,5.0
HUNTSMAN,739,0.6
