window_type,bw_value,scope,mse,se
lowess,0.5,iowa,10.0117151542,70.0820060792
lowess,0.1,iowa,15.5196901802,108.637831261
lowess,0.15,iowa,12.3746820153,86.6227741072
lowess,0.2,iowa,10.4725336238,73.3077353668
lowess,0.25,iowa,8.68078945063,60.7655261544
lowess,0.3,iowa,8.07346685378,56.5142679764
lowess,0.35,iowa,8.89128132143,62.23896925
lowess,0.4,iowa,8.90466324492,62.3326427145
