,candidateName,primaryPoll,electionYear,betfair,poll1,poll2,poll3,poll4,poll5,poll6,poll7,poll8,poll9,poll10,pollDate1,pollDate2,pollDate3,pollDate4,pollDate5,pollDate6,pollDate7,pollDate8,pollDate9,pollDate10,pollsterName1,pollsterName2,pollsterName3,pollsterName4,pollsterName5,pollsterName6,pollsterName7,pollsterName8,pollsterName9,pollsterName10,pollSampleSize1,pollSampleSize2,pollSampleSize3,pollSampleSize4,pollSampleSize5,pollSampleSize6,pollSampleSize7,pollSampleSize8,pollSampleSize9,pollSampleSize10,pollMode1,pollMode2,pollMode3,pollMode4,pollMode5,pollMode6,pollMode7,pollMode8,pollMode9,pollMode10,contb_total
11,Santorum,national,2016,,1,NA,2,0,1,0,0,NA,0,1,1/13/16,1/7/16,1/10/16,1/10/16,1/11/16,1/13/16,1/7/16,1/10/16,1/10/16,1/11/16,Ipsos/Reuters,FOX,NBC/SurveyMonkey,Morning Consult,YouGov/Economist,Ipsos/Reuters,FOX,NBC/SurveyMonkey,Morning Consult,YouGov/Economist,575,423,2852,878,552,575,423,2852,878,552,Internet,Live Phone,Internet,Internet,Internet,Internet,Live Phone,Internet,Internet,Internet,781401.03
12,Gilmore,national,2016,,0,NA,0,NA,NA,NA,0,NA,0,0,1/13/16,1/6/16,1/8/16,1/10/16,1/10/16,1/13/16,1/6/16,1/8/16,1/10/16,1/10/16,NBC/WSJ,Ipsos/Reuters,IBD/TIPP,CBS/Times,Gravis Marketing/One America News,NBC/WSJ,Ipsos/Reuters,IBD/TIPP,CBS/Times,Gravis Marketing/One America News,400,634,389,442,832,400,634,389,442,832,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,NA
13,Graham,national,2016,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/11/16,1/13/16,1/7/16,1/10/16,1/10/16,1/11/16,1/13/16,1/7/16,1/10/16,1/10/16,YouGov/Economist,Ipsos/Reuters,FOX,NBC/SurveyMonkey,Morning Consult,YouGov/Economist,Ipsos/Reuters,FOX,NBC/SurveyMonkey,Morning Consult,552,575,423,2852,878,552,575,423,2852,878,Internet,Internet,Live Phone,Internet,Internet,Internet,Internet,Live Phone,Internet,Internet,2932402.63
14,Jindal,national,2016,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/10/16,1/13/16,1/6/16,1/8/16,1/10/16,1/10/16,1/13/16,1/6/16,1/8/16,1/10/16,Gravis Marketing/One America News,NBC/WSJ,Ipsos/Reuters,IBD/TIPP,CBS/Times,Gravis Marketing/One America News,NBC/WSJ,Ipsos/Reuters,IBD/TIPP,CBS/Times,832,400,634,389,442,832,400,634,389,442,Automated Phone,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,Live Phone,Internet,Live Phone,Live Phone,1013918.12
15,Pataki,national,2016,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/10/16,1/11/16,1/13/16,1/7/16,1/10/16,1/10/16,1/11/16,1/13/16,1/7/16,1/10/16,Morning Consult,YouGov/Economist,Ipsos/Reuters,FOX,NBC/SurveyMonkey,Morning Consult,YouGov/Economist,Ipsos/Reuters,FOX,NBC/SurveyMonkey,878,552,575,423,2852,878,552,575,423,2852,Internet,Internet,Internet,Live Phone,Internet,Internet,Internet,Internet,Live Phone,Internet,365090.98
16,Perry,national,2016,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/10/16,1/10/16,1/13/16,1/6/16,1/8/16,1/10/16,1/10/16,1/13/16,1/6/16,1/8/16,CBS/Times,Gravis Marketing/One America News,NBC/WSJ,Ipsos/Reuters,IBD/TIPP,CBS/Times,Gravis Marketing/One America News,NBC/WSJ,Ipsos/Reuters,IBD/TIPP,442,832,400,634,389,442,832,400,634,389,Live Phone,Automated Phone,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,Live Phone,Internet,Live Phone,1120362.59
17,Walker,national,2016,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/10/16,1/10/16,1/11/16,1/13/16,1/7/16,1/10/16,1/10/16,1/11/16,1/13/16,1/7/16,NBC/SurveyMonkey,Morning Consult,YouGov/Economist,Ipsos/Reuters,FOX,NBC/SurveyMonkey,Morning Consult,YouGov/Economist,Ipsos/Reuters,FOX,2852,878,552,575,423,2852,878,552,575,423,Internet,Internet,Internet,Internet,Live Phone,Internet,Internet,Internet,Internet,Live Phone,4654810.3
18,Undecided,national,2016,,5,2,3,NA,8,7,5,11,6,5,1/8/16,1/10/16,1/10/16,1/13/16,1/6/16,1/8/16,1/10/16,1/10/16,1/13/16,1/6/16,IBD/TIPP,CBS/Times,Gravis Marketing/One America News,NBC/WSJ,Ipsos/Reuters,IBD/TIPP,CBS/Times,Gravis Marketing/One America News,NBC/WSJ,Ipsos/Reuters,389,442,832,400,634,389,442,832,400,634,Live Phone,Live Phone,Automated Phone,Live Phone,Internet,Live Phone,Live Phone,Automated Phone,Live Phone,Internet,NA
19,Trump,iowa,2016,54,34,28,22,29,31,23,24,31,31,28,1/12/16,12/21/15,1/10/16,1/10/16,12/17/15,1/7/16,1/10/16,12/13/15,1/7/16,1/10/16,Gravis Marketing/One America News,Gravis Marketing,Quinnipiac,PPP (D),CBS/YouGov,FOX,Des Moines Register/Bloomberg/Selzer,PPP (D),NBC/WSJ/Marist,ARG,422,440,602,530,534,504,500,522,456,600,Automated Phone,Automated Phone,Live Phone,IVR/Online,Internet,Live Phone,Live Phone,IVR/Online,Live Phone,Live Phone,1009730.97
20,Cruz,iowa,2016,43,28,26,25,25,29,27,28,31,40,25,1/10/16,12/17/15,1/7/16,1/10/16,12/13/15,1/7/16,1/10/16,1/12/16,12/21/15,1/10/16,PPP (D),CBS/YouGov,FOX,Des Moines Register/Bloomberg/Selzer,PPP (D),NBC/WSJ/Marist,ARG,Gravis Marketing/One America News,Gravis Marketing,Quinnipiac,530,534,504,500,522,456,600,422,440,602,IVR/Online,Internet,Live Phone,Live Phone,IVR/Online,Live Phone,Live Phone,Automated Phone,Automated Phone,Live Phone,17008622.17
