,candidateName,primaryPoll,electionYear,electionResult,betfair,poll1,poll2,poll3,poll4,poll5,poll6,poll7,poll8,poll9,poll10,pollDate1,pollDate2,pollDate3,pollDate4,pollDate5,pollDate6,pollDate7,pollDate8,pollDate9,pollDate10,pollsterName1,pollsterName2,pollsterName3,pollsterName4,pollsterName5,pollsterName6,pollsterName7,pollsterName8,pollsterName9,pollsterName10,pollSampleSize1,pollSampleSize2,pollSampleSize3,pollSampleSize4,pollSampleSize5,pollSampleSize6,pollSampleSize7,pollSampleSize8,pollSampleSize9,pollSampleSize10,pollMode1,pollMode2,pollMode3,pollMode4,pollMode5,pollMode6,pollMode7,pollMode8,pollMode9,pollMode10,contb_total
12,Santorum,iowa,2012,24.56,23.1,3,10,5,6,8,7,7,5,5,4,12/18/11,12/18/11,12/18/11,12/5/11,12/6/11,12/7/11,12/11/11,12/12/11,12/13/11,12/13/11,Iowa State,PPP (D),InsiderAdvantage,We Ask America,CNN/Time,U of Iowa,ARG,InsiderAdvantage,PPP (D),Rasmussen,333,597,422,970,419,277,600,422,572,750,Live Phone,Automated Phone,Automated Phone,Automated Phone,Live Phone,Live Phone,Live Phone,Automated Phone,Automated Phone,Automated Phone,683106
13,Paul,iowa,2012,21.43,29.4,24,23,28,18,21,17,17,11,17,14,12/13/11,12/18/11,12/18/11,12/18/11,12/5/11,12/6/11,12/7/11,12/11/11,12/12/11,12/13/11,Rasmussen,Iowa State,PPP (D),InsiderAdvantage,We Ask America,CNN/Time,U of Iowa,ARG,InsiderAdvantage,PPP (D),750,333,597,422,970,419,277,600,422,572,Automated Phone,Live Phone,Automated Phone,Automated Phone,Automated Phone,Live Phone,Live Phone,Live Phone,Automated Phone,Automated Phone,4368581.11
14,Cain,iowa,2012,0.04,0,NA,NA,0,NA,NA,NA,NA,4,NA,NA,12/13/11,12/13/11,12/18/11,12/18/11,12/18/11,12/5/11,12/6/11,12/7/11,12/11/11,12/12/11,PPP (D),Rasmussen,Iowa State,PPP (D),InsiderAdvantage,We Ask America,CNN/Time,U of Iowa,ARG,InsiderAdvantage,572,750,333,597,422,970,419,277,600,422,Automated Phone,Automated Phone,Live Phone,Automated Phone,Automated Phone,Automated Phone,Live Phone,Live Phone,Live Phone,Automated Phone,1197549.23
15,Huntsman,iowa,2012,0.61,0,4,4,0,5,5,4,5,2,1,3,12/12/11,12/13/11,12/13/11,12/18/11,12/18/11,12/18/11,12/5/11,12/6/11,12/7/11,12/11/11,InsiderAdvantage,PPP (D),Rasmussen,Iowa State,PPP (D),InsiderAdvantage,We Ask America,CNN/Time,U of Iowa,ARG,422,572,750,333,597,422,970,419,277,600,Automated Phone,Automated Phone,Automated Phone,Live Phone,Automated Phone,Automated Phone,Automated Phone,Live Phone,Live Phone,Live Phone,1576146.19
16,Perry,iowa,2012,10.33,0,16,10,11,10,9,13,13,8,9,7,12/11/11,12/12/11,12/13/11,12/13/11,12/18/11,12/18/11,12/18/11,12/5/11,12/6/11,12/7/11,ARG,InsiderAdvantage,PPP (D),Rasmussen,Iowa State,PPP (D),InsiderAdvantage,We Ask America,CNN/Time,U of Iowa,600,422,572,750,333,597,422,970,419,277,Live Phone,Automated Phone,Automated Phone,Automated Phone,Live Phone,Automated Phone,Automated Phone,Automated Phone,Live Phone,Live Phone,8941492.06
17,Undecided,iowa,2012,0,0,NA,7,5,8,7,NA,12,11,5,12,12/7/11,12/11/11,12/12/11,12/13/11,12/13/11,12/18/11,12/18/11,12/18/11,12/5/11,12/6/11,U of Iowa,ARG,InsiderAdvantage,PPP (D),Rasmussen,Iowa State,PPP (D),InsiderAdvantage,We Ask America,CNN/Time,277,600,422,572,750,333,597,422,970,419,Live Phone,Live Phone,Automated Phone,Automated Phone,Automated Phone,Live Phone,Automated Phone,Automated Phone,Automated Phone,Live Phone,NA
18,Other,iowa,2012,5.2,0,10,10,7,11,11,10,7,10,9,13,12/6/11,12/7/11,12/11/11,12/12/11,12/13/11,12/13/11,12/18/11,12/18/11,12/18/11,12/5/11,CNN/Time,U of Iowa,ARG,InsiderAdvantage,PPP (D),Rasmussen,Iowa State,PPP (D),InsiderAdvantage,We Ask America,419,277,600,422,572,750,333,597,422,970,Live Phone,Live Phone,Live Phone,Automated Phone,Automated Phone,Automated Phone,Live Phone,Automated Phone,Automated Phone,Automated Phone,NA
19,Romney,new-hampshire,2012,39.4,,41,36,44,39,35,35,38,33,35,38,12/28/11,11/30/11,12/6/11,12/12/11,12/13/11,12/14/11,12/18/11,12/19/11,12/27/11,12/28/11,Magellan (R),NBC/Marist,CNN/Time,Rasmussen,Suffolk,ARG,PPP (D),UNH/Boston Globe,CNN/Time,PPP (D),648,696,4507,762,400,600,1235,543,543,341,Automated Phone,Live Phone,Live Phone,Automated Phone,Live Phone,Live Phone,Automated Phone,Live Phone,Live Phone,Automated Phone,43223000.24
20,Gingrich,new-hampshire,2012,9.4,,12,13,16,17,17,16,20,22,26,23,12/28/11,12/28/11,11/30/11,12/6/11,12/12/11,12/13/11,12/14/11,12/18/11,12/19/11,12/27/11,PPP (D),Magellan (R),NBC/Marist,CNN/Time,Rasmussen,Suffolk,ARG,PPP (D),UNH/Boston Globe,CNN/Time,341,648,696,4507,762,400,600,1235,543,543,Automated Phone,Automated Phone,Live Phone,Live Phone,Automated Phone,Live Phone,Live Phone,Automated Phone,Live Phone,Live Phone,1394639.15
21,Santorum,new-hampshire,2012,9.5,,4,3,4,3,3,1,2,3,2,1,12/27/11,12/28/11,12/28/11,11/30/11,12/6/11,12/12/11,12/13/11,12/14/11,12/18/11,12/19/11,CNN/Time,PPP (D),Magellan (R),NBC/Marist,CNN/Time,Rasmussen,Suffolk,ARG,PPP (D),UNH/Boston Globe,543,341,648,696,4507,762,400,600,1235,543,Live Phone,Automated Phone,Automated Phone,Live Phone,Live Phone,Automated Phone,Live Phone,Live Phone,Automated Phone,Live Phone,683106
22,Paul,new-hampshire,2012,22.8,,21,21,17,17,19,21,8,18,17,15,12/19/11,12/27/11,12/28/11,12/28/11,11/30/11,12/6/11,12/12/11,12/13/11,12/14/11,12/18/11,UNH/Boston Globe,CNN/Time,PPP (D),Magellan (R),NBC/Marist,CNN/Time,Rasmussen,Suffolk,ARG,PPP (D),543,543,341,648,696,4507,762,400,600,1235,Live Phone,Live Phone,Automated Phone,Automated Phone,Live Phone,Live Phone,Automated Phone,Live Phone,Live Phone,Automated Phone,4368581.11
23,Cain,new-hampshire,2012,NA,,NA,NA,NA,NA,NA,NA,2,NA,NA,2,12/18/11,12/19/11,12/27/11,12/28/11,12/28/11,11/30/11,12/6/11,12/12/11,12/13/11,12/14/11,PPP (D),UNH/Boston Globe,CNN/Time,PPP (D),Magellan (R),NBC/Marist,CNN/Time,Rasmussen,Suffolk,ARG,1235,543,543,341,648,696,4507,762,400,600,Automated Phone,Live Phone,Live Phone,Automated Phone,Automated Phone,Live Phone,Live Phone,Automated Phone,Live Phone,Live Phone,1197549.23
24,Huntsman,new-hampshire,2012,16.8,,12,12,9,11,13,13,13,10,8,9,12/14/11,12/18/11,12/19/11,12/27/11,12/28/11,12/28/11,11/30/11,12/6/11,12/12/11,12/13/11,ARG,PPP (D),UNH/Boston Globe,CNN/Time,PPP (D),Magellan (R),NBC/Marist,CNN/Time,Rasmussen,Suffolk,600,1235,543,543,341,648,696,4507,762,400,Live Phone,Automated Phone,Live Phone,Live Phone,Automated Phone,Automated Phone,Live Phone,Live Phone,Automated Phone,Live Phone,1576146.19
25,Perry,new-hampshire,2012,0.7,,3,3,2,NA,2,2,1,3,2,3,12/13/11,12/14/11,12/18/11,12/19/11,12/27/11,12/28/11,12/28/11,11/30/11,12/6/11,12/12/11,Suffolk,ARG,PPP (D),UNH/Boston Globe,CNN/Time,PPP (D),Magellan (R),NBC/Marist,CNN/Time,Rasmussen,400,600,1235,543,543,341,648,696,4507,762,Live Phone,Live Phone,Automated Phone,Live Phone,Live Phone,Automated Phone,Automated Phone,Live Phone,Live Phone,Automated Phone,8941492.06
26,Undecided,new-hampshire,2012,0,,1,2,4,NA,4,8,11,5,6,7,12/12/11,12/13/11,12/14/11,12/18/11,12/19/11,12/27/11,12/28/11,12/28/11,11/30/11,12/6/11,Rasmussen,Suffolk,ARG,PPP (D),UNH/Boston Globe,CNN/Time,PPP (D),Magellan (R),NBC/Marist,CNN/Time,762,400,600,1235,543,543,341,648,696,4507,Automated Phone,Live Phone,Live Phone,Automated Phone,Live Phone,Live Phone,Automated Phone,Automated Phone,Live Phone,Live Phone,NA
27,Other,new-hampshire,2012,1.4,,6,10,4,0,6,4,4,5,5,3,12/6/11,12/12/11,12/13/11,12/14/11,12/18/11,12/19/11,12/27/11,12/28/11,12/28/11,11/30/11,CNN/Time,Rasmussen,Suffolk,ARG,PPP (D),UNH/Boston Globe,CNN/Time,PPP (D),Magellan (R),NBC/Marist,4507,762,400,600,1235,543,543,341,648,696,Live Phone,Automated Phone,Live Phone,Live Phone,Automated Phone,Live Phone,Live Phone,Automated Phone,Automated Phone,Live Phone,NA
