Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Trump,Cruz,Rubio,Carson,Bush,Paul,Christie,Huckabee,Kasich,Fiorina,Santorum,Gilmore,Graham,Jindal,Pataki,Perry,Walker,Pollster URL,Source URL,Partisan,Affiliation
PPP (D),2015-12-10,2015-12-13,2015-12-15 16:04:49 UTC 2015-12-15 16:04:49 UTC,522,Likely Voters - Republican,IVR/Online,28,25,14,10,7,2,3,3,2,3,1,0,1,,0,,,http://elections.huffingtonpost.com/pollster/polls/ppp-d-23327,,Pollster,Dem
Quinnipiac,2015-12-04,2015-12-13,2015-12-14 17:15:08 UTC 2015-12-14 17:15:08 UTC,874,Likely Voters - Republican,Live Phone,28,27,14,10,5,4,3,1,1,3,0,,0,,0,,,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23316,,Nonpartisan,None
FOX,2015-12-07,2015-12-10,2015-12-13 14:33:41 UTC 2015-12-13 14:33:41 UTC,450,Likely Voters - Republican,Live Phone,26,28,13,10,5,5,2,1,1,2,0,0,0,,1,,,http://elections.huffingtonpost.com/pollster/polls/fox-23312,,Nonpartisan,None
Loras College,2015-12-07,2015-12-10,2015-12-14 21:40:56 UTC 2015-12-14 21:40:56 UTC,499,Likely Voters - Republican,Live Phone,23,30,11,11,6,2,0,2,1,3,1,,0,,,,,http://elections.huffingtonpost.com/pollster/polls/loras-college-23318,,Nonpartisan,None
Des Moines Register/Bloomberg/Selzer,2015-12-07,2015-12-10,2015-12-12 23:17:05 UTC 2015-12-12 23:17:05 UTC,400,Likely Voters - Republican,Live Phone,21,31,10,13,6,3,3,3,2,1,1,0,0,,0,,,http://elections.huffingtonpost.com/pollster/polls/des-moines-register-bloomberg-selzer-23311,,Nonpartisan,None
Monmouth University,2015-12-03,2015-12-06,2015-12-07 17:22:41 UTC 2015-12-07 17:22:41 UTC,425,Likely Voters - Republican,Live Phone,19,24,17,13,6,4,2,2,3,3,1,0,0,,0,,,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-23267,,Nonpartisan,None
CNN,2015-11-28,2015-12-06,2015-12-07 21:15:32 UTC 2015-12-07 21:15:32 UTC,552,Likely Voters - Republican,Live Phone,33,20,11,16,4,3,2,2,1,3,1,0,0,,0,,,http://elections.huffingtonpost.com/pollster/polls/cnn-23270,,Nonpartisan,None
Quinnipiac,2015-11-16,2015-11-22,2015-11-24 12:26:17 UTC 2015-11-24 12:26:17 UTC,600,Likely Voters - Republican,Live Phone,25,23,13,18,4,5,2,2,1,3,2,,0,,0,,,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23224,,Nonpartisan,None
CBS/YouGov,2015-11-15,2015-11-19,2015-11-22 18:49:34 UTC 2015-11-22 18:49:34 UTC,657,Likely Voters - Republican,Internet,30,21,11,19,5,2,2,1,1,4,2,,,2,,,,http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-23208,,Nonpartisan,None
Morning Consult/Campaign for Sustainable Rx Pricing,2015-11-10,2015-11-16,2015-11-19 19:31:10 UTC 2015-11-19 19:31:10 UTC,239,Registered Voters - Republican,Live Phone/Online,29,9,12,17,9,3,3,2,1,4,1,,0,1,,,,http://elections.huffingtonpost.com/pollster/polls/morning-consult-campaign-for-sustainable-rx-pricing-23184,,Nonpartisan,None
