POLLSTER,Start Date,End Date,days_to_caucus,Number of Observations,Population,Mode,Pollster URL,Source URL,Partisan,Affiliation,Trump,Cruz,Rubio,Carson,Bush,Christie,Rand Paul,Kasich,Huckabee,Fiorina,Santorum,Gilmore,Graham,Jindal,Pataki,Perry,Walker
CNN,2015-12-17,2015-12-21,40,438,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-23404,,Nonpartisan,None,39,18,10,10,3,5,4,2,2,1,0,0,1,,0,,
Emerson College Polling Society,2015-12-17,2015-12-20,42,415,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-23395,,Nonpartisan,None,36,21,13,7,6,6,1,3,1,5,,,0,,,,
Quinnipiac,2015-12-16,2015-12-20,41,508,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23400,,Nonpartisan,None,28,24,12,10,4,6,2,1,1,2,1,0,0,,0,,
FOX,2015-12-16,2015-12-17,46,402,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-23385,,Nonpartisan,None,39,18,11,9,3,3,3,2,1,3,1,0,0,,0,,
Morning Consult,2015-12-16,2015-12-17,46,861,Registered Voters - Republican,Mixed,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23379,,Nonpartisan,None,36,11,9,12,7,2,3,,,2,,,,,,,
PPP (D),2015-12-16,2015-12-17,46,532,Likely Voters - Republican,IVR/Online,http://elections.huffingtonpost.com/pollster/polls/ppp-d-23380,,Pollster,Dem,34,18,13,6,7,5,2,2,4,4,1,0,1,,0,,
Ipsos/Reuters,2015-12-12,2015-12-16,45,730,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23361,,Nonpartisan,None,36,14,10,11,7,3,3,2,5,3,0,0,1,,0,,
Morning Consult,2015-12-11,2015-12-15,46,1530,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23333,,Nonpartisan,None,40,9,7,10,7,3,3,2,3,3,1,,1,,1,,
ABC/Post,2015-12-10,2015-12-13,49,362,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/abc-post-23326,,Nonpartisan,None,38,15,12,12,5,4,2,2,1,1,0,,1,,0,,
Monmouth University,2015-12-10,2015-12-13,49,385,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-23317,,Nonpartisan,None,41,14,10,9,3,2,2,3,2,2,0,0,1,,1,,
NBC/WSJ,2015-12-06,2015-12-09,53,400,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23313,,Nonpartisan,None,27,22,15,11,7,3,2,2,3,5,,,,,,,
Ipsos/Reuters,2015-12-05,2015-12-09,52,494,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23297,,Nonpartisan,None,37,11,12,13,5,4,1,2,2,2,1,0,2,,1,,
YouGov/Economist,2015-12-04,2015-12-09,52,455,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23301,,Nonpartisan,None,34,15,17,9,4,3,6,3,3,4,0,0,0,,0,,
Gravis Marketing/One America News,2015-12-07,2015-12-08,55,691,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23300,,Sponsor,Rep,42,16,11,9,6,4,2,3,2,3,1,,1,,,,
CBS/Times,2015-12-04,2015-12-08,53,431,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cbs-times-23293,,Nonpartisan,None,35,16,9,13,3,3,4,3,3,1,0,0,0,,0,,
Zogby (Internet),2015-12-07,2015-12-07,56,271,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-23291,,Nonpartisan,None,38,8,12,13,7,4,1,1,1,3,0,0,0,,1,,
Morning Consult,2015-12-03,2015-12-07,54,865,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23281,,Nonpartisan,None,41,7,10,12,5,3,2,2,3,2,0,,1,,1,,
Public Religion Research Institute,2015-12-02,2015-12-06,55,376,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23296,,Nonpartisan,None,24,10,12,16,10,3,4,2,1,2,,,,,,,
Suffolk/USA Today,2015-12-02,2015-12-06,55,357,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-23278,,Nonpartisan,None,27,17,16,10,4,2,2,2,1,1,1,0,0,,0,,
IBD/TIPP,2015-11-30,2015-12-04,57,354,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-23266,,Nonpartisan,None,27,13,14,15,3,2,2,2,2,3,0,,0,,0,,
Ipsos/Reuters,2015-11-28,2015-12-02,59,385,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23252,,Nonpartisan,None,36,10,7,17,11,2,4,2,2,2,1,0,0,,0,,
CNN,2015-11-27,2015-12-01,60,445,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-23258,,Nonpartisan,None,36,16,12,14,3,4,1,2,2,3,0,0,0,0,0,,
Quinnipiac,2015-11-23,2015-11-30,60,672,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23247,,Nonpartisan,None,27,16,17,16,5,2,2,2,1,3,0,0,0,,0,,
Ipsos/Reuters,2015-11-21,2015-11-25,66,352,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23238,,Nonpartisan,None,37,11,10,9,6,4,2,3,3,3,0,3,0,,2,,
Gravis Marketing/One America News,2015-11-23,2015-11-23,70,523,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23235,,Sponsor,Rep,37,12,14,15,8,2,3,4,2,2,1,,2,,,,
YouGov/Economist,2015-11-19,2015-11-23,68,600,Likely Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23233,,Nonpartisan,None,36,12,14,10,6,3,4,4,2,4,0,0,1,,0,,
ABC/Post,2015-11-16,2015-11-19,73,373,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/abc-post-23205,,Nonpartisan,None,32,8,11,22,6,2,3,3,3,4,1,,1,,,,
FOX,2015-11-16,2015-11-19,73,434,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-23207,,Nonpartisan,None,28,14,14,18,5,3,2,2,3,3,,,,,1,,
Ipsos/Reuters,2015-11-14,2015-11-18,73,1299,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23182,,Nonpartisan,None,37,8,11,14,6,3,5,2,3,3,1,0,0,1,0,,
PPP (D),2015-11-16,2015-11-17,76,607,Likely Voters - Republican,IVR/Online,http://elections.huffingtonpost.com/pollster/polls/ppp-d-23174,,Pollster,Dem,26,14,13,19,5,3,2,3,4,4,0,0,1,0,1,,
Bloomberg/Selzer,2015-11-15,2015-11-17,75,379,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-23179,,Nonpartisan,None,24,9,12,20,6,4,3,3,3,3,1,,1,,1,,
NBC/SurveyMonkey,2015-11-15,2015-11-17,75,2440,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23195,,Nonpartisan,None,28,18,11,18,4,3,2,2,2,3,1,0,0,1,0,,
Morning Consult,2015-11-13,2015-11-16,76,774,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23158,,Nonpartisan,None,38,7,7,19,6,2,2,1,3,3,0,,1,0,0,,
Rasmussen,2015-11-11,2015-11-12,81,572,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/rasmussen-23134,,Nonpartisan,None,27,13,16,20,8,,,,,4,,,,,,,
Ipsos/Reuters,2015-11-07,2015-11-11,80,555,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23166,,Nonpartisan,None,33,10,10,17,6,1,3,1,4,5,2,0,1,1,0,,
Public Religion Research Institute,2015-11-06,2015-11-10,81,147,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23214,,Nonpartisan,None,20,10,9,27,8,3,0,3,6,2,,,,,,,
YouGov/Economist,2015-11-05,2015-11-09,82,446,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23108,,Nonpartisan,None,32,10,13,18,3,3,4,4,4,3,1,1,1,2,0,,
Morning Consult,2015-11-05,2015-11-08,84,1567,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23107,,Nonpartisan,None,34,7,7,19,8,2,2,1,3,2,1,,0,1,0,,
Ipsos/Reuters,2015-10-31,2015-11-04,87,618,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23076,,Nonpartisan,None,29,8,10,19,10,3,2,2,3,5,0,0,1,1,1,,
McClatchy/Marist,2015-10-29,2015-11-04,86,431,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-23088,,Nonpartisan,None,23,8,12,24,8,2,5,4,3,3,1,0,0,1,1,,
FOX,2015-11-01,2015-11-03,89,476,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/fox-23061,,Nonpartisan,None,26,11,11,23,4,2,4,4,4,3,0,0,0,0,0,,
USC/LA Times/SurveyMonkey,2015-10-29,2015-11-03,88,1292,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/usc-la-times-surveymonkey-23085,,Nonpartisan,None,25,10,12,21,4,1,2,2,2,4,1,0,0,1,0,,
Quinnipiac,2015-10-29,2015-11-02,89,502,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23059,,Nonpartisan,None,24,13,14,23,4,3,2,3,1,3,1,0,0,0,0,,
Ipsos/Reuters,2015-10-28,2015-11-02,89,635,Adults - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23062,,Nonpartisan,None,31,6,10,18,10,3,3,3,3,5,1,0,0,1,0,,
Morning Consult,2015-10-29,2015-11-01,91,937,Registered Voters - Republican,Internet,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23056,,Nonpartisan,None,31,9,7,21,7,4,3,1,3,2,0,,0,1,1,,
